inj_id,target_layer,layer_weigths,bit_pos,n_injections,top_1_correct,top_5_correct,top_1_robust,top_5_robust,masked,non_critical,critical
15305,conv2d_18,"(1, 1, 17, 22)",31,10,10,10,10,10,0,10,0
15306,conv2d_18,"(1, 1, 7, 24)",11,10,10,10,10,10,5,5,0
15307,conv2d_18,"(1, 1, 55, 15)",14,10,10,10,10,10,2,8,0
15308,conv2d_18,"(0, 1, 55, 16)",4,10,10,10,10,10,10,0,0
15309,conv2d_18,"(2, 2, 32, 59)",14,10,10,10,10,10,0,10,0
15310,conv2d_18,"(2, 0, 44, 35)",10,10,10,10,10,10,10,0,0
15311,conv2d_18,"(2, 0, 12, 57)",22,10,10,10,10,10,2,8,0
15312,conv2d_18,"(1, 0, 33, 40)",3,10,10,10,10,10,10,0,0
15313,conv2d_18,"(0, 2, 62, 53)",0,10,10,10,10,10,9,1,0
15314,conv2d_18,"(2, 0, 53, 17)",1,10,10,10,10,10,10,0,0
15315,conv2d_18,"(2, 0, 52, 44)",14,10,10,10,10,10,0,10,0
15316,conv2d_18,"(0, 2, 33, 50)",28,10,10,10,10,10,0,10,0
15317,conv2d_18,"(2, 0, 18, 52)",28,10,10,10,10,10,1,9,0
15318,conv2d_18,"(2, 2, 20, 10)",11,10,10,10,10,10,2,8,0
15319,conv2d_18,"(0, 0, 31, 52)",25,10,10,10,10,10,10,0,0
15320,conv2d_18,"(1, 1, 22, 58)",2,10,10,10,10,10,10,0,0
15321,conv2d_18,"(2, 1, 63, 56)",4,10,10,10,10,10,7,3,0
15322,conv2d_18,"(0, 1, 19, 53)",13,10,10,10,10,10,0,10,0
15323,conv2d_18,"(0, 1, 11, 20)",31,10,10,10,10,10,0,10,0
15324,conv2d_18,"(1, 1, 14, 27)",18,10,10,10,10,10,1,9,0
15325,conv2d_18,"(2, 2, 61, 21)",16,10,10,10,10,10,0,10,0
15326,conv2d_18,"(2, 2, 61, 24)",30,10,2,6,2,6,0,2,8
15327,conv2d_18,"(0, 1, 34, 20)",22,10,10,10,10,10,2,8,0
15328,conv2d_18,"(0, 2, 34, 10)",24,10,10,10,10,10,3,7,0
15329,conv2d_18,"(2, 1, 7, 41)",0,10,10,10,10,10,9,1,0
15330,conv2d_18,"(0, 1, 27, 47)",19,10,10,10,10,10,2,8,0
15331,conv2d_18,"(1, 2, 6, 56)",16,10,10,10,10,10,0,10,0
15332,conv2d_18,"(0, 2, 43, 59)",17,10,10,10,10,10,0,10,0
15333,conv2d_18,"(2, 2, 61, 4)",13,10,10,10,10,10,0,10,0
15334,conv2d_18,"(1, 1, 37, 23)",15,10,10,10,10,10,1,9,0
15335,conv2d_18,"(2, 0, 17, 18)",30,10,1,7,1,7,0,1,9
15336,conv2d_18,"(2, 0, 4, 11)",9,10,10,10,10,10,8,2,0
15337,conv2d_18,"(0, 0, 34, 15)",12,10,10,10,10,10,4,6,0
15338,conv2d_18,"(1, 1, 61, 32)",15,10,10,10,10,10,0,10,0
15339,conv2d_18,"(1, 2, 49, 27)",14,10,10,10,10,10,2,8,0
15340,conv2d_18,"(1, 1, 36, 45)",2,10,10,10,10,10,10,0,0
